"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bermudas","BMU","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5010","5140","5250","5380","5540","5670","5470","5670","6020","6350","6050","6030","6900","6600","7450","8000","7670","7650","7670","7660","9520","8460","8480","8460","8030","8550","9050","8850","8770","","","",
"Brasil","BRA","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106590","111490","113000","115700","119000","119980","113500","116690","123900","124220","124410","130210","140600","146210","156770","156250","154460","160010","153670","150360","167390","166850","167660","167970","174590","172220","176350","184380","179200","","","",
"Barbados","BRB","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","60","60","60","60","60","60","60","60","60","50","50","60","50","50","50","50","50","50","50","50","60","50","50","50","50","50","","","",
"Brunei Darussalam","BRN","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","90","90","80","80","90","90","90","100","110","110","120","110","120","120","120","130","130","130","130","140","140","150","150","150","150","150","150","150","","","",
"Bhután","BTN","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","160","160","160","160","170","170","170","170","180","170","160","170","170","170","180","180","180","170","180","180","180","180","180","180","180","180","180","190","","","",
"Botswana","BWA","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4790","4620","4500","4390","4560","4880","5720","5450","4960","4870","4710","5790","5980","2330","2600","3150","4210","3200","7710","3100","8950","11210","4940","4440","3080","2790","2430","4140","3160","","","",
"República Centroafricana","CAF","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18900","19360","19730","20100","22870","23270","24630","25040","26390","25480","27340","25150","23790","26280","24730","25080","25280","25560","26380","24150","25420","27170","26840","28660","29590","30910","32140","31620","32110","","","",
"Canadá","CAN","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42190","41810","42350","42120","44390","45950","48580","46600","43640","40810","39250","38910","40160","40790","42470","43250","38620","42430","42330","38800","38970","41330","43250","42600","41840","41860","40990","41400","43120","","","",
"Europa Central y del Báltico","CEB","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87580","74370","68350","66370","65720","64970","67030","66820","62900","60890","63720","64450","61600","62950","66160","66090","64760","66360","63810","55530","56460","57370","55960","54970","54400","55590","56280","56220","56420","","","",
