"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bolivia","BOL","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5680","5770","6820","7820","9040","8320","8120","8280","8610","7960","8000","7890","8230","9110","9420","10070","11160","12040","13020","13870","15040","16450","17250","18560","20170","20410","21610","22250","22710","","","",
"Brasil","BRA","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198260","205180","208660","215180","222720","241500","262900","281510","290760","300620","312670","319560","317280","309350","326760","330510","333980","351520","372160","350830","397730","417120","451760","482860","506780","479970","441910","449840","427710","","","",
"Barbados","BRB","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","980","1180","990","1030","1070","1070","1170","1270","1300","1240","1320","1370","1380","1360","1420","1470","1480","1780","4620","1590","1670","2210","1480","1290","1290","1310","1200","1250","","","",
"Brunei Darussalam","BRN","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3920","3380","3590","3870","4140","4500","4710","5090","4310","4190","4430","4310","4360","5250","4920","4820","7220","6840","7220","7430","6860","7010","7130","7020","6970","5980","6410","6710","7140","","","",
"Bhután","BTN","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","170","200","170","190","230","280","370","360","360","370","360","400","360","310","410","400","390","400","370","470","670","760","850","940","960","1230","1330","1380","","","",
"Botswana","BWA","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2810","2740","3300","3250","3080","3190","2920","3070","3680","3860","4030","3870","4030","3920","3970","4280","4090","4320","4390","4090","3370","4000","5130","5560","7130","7210","7120","7870","8210","","","",
"República Centroafricana","CAF","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","150","150","160","160","160","170","170","230","240","240","250","250","240","240","240","260","260","260","260","270","290","300","300","300","310","310","310","330","","","",
"Canadá","CAN","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","419120","412930","426000","422680","438820","449500","463160","478530","486760","495140","515000","506940","525470","545360","537250","549970","541070","571310","550200","520800","535030","547720","547140","556350","561830","558800","550480","562260","574400","","","",
"Europa Central y del Báltico","CEB","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","988720","912230","848250","825880","803900","809240","832780","807530","759130","717720","708640","719870","705970","737230","736270","734590","750980","757920","740540","683460","708620","708790","682080","656190","635680","645360","656330","680750","676470","","","",
"Suiza","CHE","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43330","45670","45700","43450","42590","43440","44010","42750","44250","44530","43710","45160","43570","44840","45280","45850","45480","43540","44960","43670","45210","41190","42470","43480","39730","39030","39610","38620","37480","","","",
"Islas del Canal","CHI","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
